Row,Age,Heart_beat,Activity_trimmed
1,20,78.53130238,1
2,20,78.45339028,1
3,20,78.54082508,1
4,20,78.62825988,1
5,20,78.71569468,1
6,20,78.80312949,1
7,20,78.89056429,1
8,20,78.97799909,1
9,20,79.06543389,1
10,20,79.1528687,1
11,20,79.2403035,0
12,20,79.3277383,0
13,20,79.4151731,0
14,20,79.50260791,0
15,20,79.59004271,0
16,20,79.67747751,0
17,20,79.76491231,0
18,20,79.85234712,0
19,20,79.93978192,0
20,20,80.02721672,0
21,20,80.11465152,0
22,20,80.20208632,1
23,20,80.28952113,1
24,20,80.37695593,1
25,20,80.46439073,1
26,20,80.55182553,1
27,20,80.63926034,0
28,20,80.72669514,0
29,20,80.81412994,0
30,20,80.90156474,0
31,20,80.98899955,0
32,20,81.07643435,0
33,20,81.16386915,0
34,20,81.25130395,0
35,20,81.33873876,0
36,20,81.42617356,0
37,20,81.51360836,0
38,20,81.60104316,0
39,20,81.68847796,0
40,20,81.77591277,0
41,20,81.86334757,1
42,20,81.95078237,1
43,20,82.03821717,1
44,20,82.12565198,1
45,20,82.21308678,1
46,20,82.30052158,0
47,20,82.38795638,0
48,20,82.47539119,0
49,20,82.56282599,0
50,20,82.65026079,0
51,20,82.73769559,0
52,20,82.8251304,0
53,20,82.9125652,0
54,20,83,0
55,20,75,0
56,20,67,0
57,20,59,0
58,20,51,1
59,20,71.1126,1
60,20,66.74173333,1
61,20,62.37086667,1
62,20,58,1
63,20,58.75,1
64,20,59.5,0
65,20,60.25,0
66,20,61,0
67,20,64,0
68,20,67,0
69,20,70,0
70,20,73,0
71,20,76,0
72,20,80,0
73,20,84,0
74,20,88,0
75,20,84.84376746,0
76,20,81.68753492,0
